x,y,FRE_PROVINCE_NAME,MAX_TEMPERATURE,DAYS_WITH_VALID_SUNSHINE,LONGITUDE,COOLING_DEGREE_DAYS,BRIGHT_SUNSHINE,LOCAL_YEAR,ID,NORMAL_MEAN_TEMPERATURE,DAYS_WITH_PRECIP_GE_1MM,NORMAL_PRECIPITATION,DAYS_WITH_VALID_MAX_TEMP,MEAN_TEMPERATURE,LOCAL_DATE,TOTAL_SNOWFALL,LOCAL_MONTH,NORMAL_SNOWFALL,DAYS_WITH_VALID_PRECIP,CLIMATE_IDENTIFIER,STATION_NAME,DAYS_WITH_VALID_SNOWFALL,SNOW_ON_GROUND_LAST_DAY,ENG_PROVINCE_NAME,TOTAL_PRECIPITATION,PROVINCE_CODE,DAYS_WITH_VALID_MEAN_TEMP,NORMAL_SUNSHINE,LATITUDE,LAST_UPDATED,DAYS_WITH_VALID_MIN_TEMP,MIN_TEMPERATURE,HEATING_DEGREE_DAYS
-64.83333333333333,47.80222222222222,NOUVEAU-BRUNSWICK,18.1,0,-64.833,0,,2001,6915.2001.4,,6,,30,1.96,2001-04,,4,,30,8100467,BAS CARAQUET,0,,NEW BRUNSWICK,32.6,NB,30,,47.802,2023-07-18 11:06:19,30,-8.8,481.2
-64.83333333333333,47.80222222222222,NOUVEAU-BRUNSWICK,28.3,0,-64.833,0.3,,2001,6915.2001.5,,5,,31,10.803225806451612,2001-05,,5,,31,8100467,BAS CARAQUET,0,,NEW BRUNSWICK,73.7,NB,31,,47.802,2023-07-18 10:58:02,31,-2.8,223.4
-64.83333333333333,47.80222222222222,NOUVEAU-BRUNSWICK,31.7,0,-64.833,34.3,,2001,6915.2001.6,,10,,30,16.75,2001-06,,6,,30,8100467,BAS CARAQUET,0,0,NEW BRUNSWICK,71.1,NB,30,,47.802,2023-07-18 11:21:16,30,2.1,71.8
-64.83333333333333,47.80222222222222,NOUVEAU-BRUNSWICK,31.4,0,-64.833,50.6,,2001,6915.2001.7,,7,,31,19.125806451612902,2001-07,,7,,31,8100467,BAS CARAQUET,0,0,NEW BRUNSWICK,59.6,NB,31,,47.802,2023-07-18 11:28:17,31,7.8,15.7
-64.83333333333333,47.80222222222222,NOUVEAU-BRUNSWICK,33.5,0,-64.833,84.7,,2001,6915.2001.8,,12,,31,20.3,2001-08,,8,,31,8100467,BAS CARAQUET,0,0,NEW BRUNSWICK,54.8,NB,31,,47.802,2023-07-18 10:41:06,31,8.3,13.4
-64.83333333333333,47.80222222222222,NOUVEAU-BRUNSWICK,33.4,0,-64.833,28.4,,2001,6915.2001.9,,6,,30,15.93,2001-09,,9,,30,8100467,BAS CARAQUET,0,0,NEW BRUNSWICK,82.9,NB,30,,47.802,2023-07-18 11:21:16,30,1.9,90.5
-64.83333333333333,47.80222222222222,NOUVEAU-BRUNSWICK,23.7,0,-64.833,0,,2001,6915.2001.10,,9,,31,9.651612903225807,2001-10,,10,,31,8100467,BAS CARAQUET,0,0,NEW BRUNSWICK,108.4,NB,31,,47.802,2023-07-18 11:21:16,31,-1.5,258.8
-64.83333333333333,47.80222222222222,NOUVEAU-BRUNSWICK,18.8,0,-64.833,0,,2001,6915.2001.11,,10,,30,3.533333333333333,2001-11,,11,,30,8100467,BAS CARAQUET,0,,NEW BRUNSWICK,82.9,NB,30,,47.802,2023-07-18 11:35:53,30,-5.7,434
-64.83333333333333,47.80222222222222,NOUVEAU-BRUNSWICK,8.7,0,-64.833,0,,2001,6915.2001.12,,6,,31,-0.9193548387096774,2001-12,,12,,31,8100467,BAS CARAQUET,0,,NEW BRUNSWICK,31.8,NB,31,,47.802,2023-07-18 10:49:38,31,-10.5,586.5
-64.83333333333333,47.80222222222222,NOUVEAU-BRUNSWICK,3.7,0,-64.833,0,,2002,6915.2002.1,,4,,31,-6.703225806451613,2002-01,,1,,31,8100467,BAS CARAQUET,0,,NEW BRUNSWICK,19.3,NB,31,,47.802,2023-07-18 11:47:39,31,-16.7,765.8
