x,y,SNOW_ON_GROUND_LAST_DAY,FRE_PROVINCE_NAME,PROVINCE_CODE,LAST_UPDATED,LOCAL_MONTH,STATION_NAME,LOCAL_YEAR,MEAN_TEMPERATURE,NORMAL_MEAN_TEMPERATURE,CLIMATE_IDENTIFIER,HEATING_DEGREE_DAYS,TOTAL_PRECIPITATION,BRIGHT_SUNSHINE,NORMAL_SNOWFALL,ID,TOTAL_SNOWFALL,DAYS_WITH_VALID_SUNSHINE,MAX_TEMPERATURE,LONGITUDE,ENG_PROVINCE_NAME,NORMAL_SUNSHINE,DAYS_WITH_VALID_MAX_TEMP,DAYS_WITH_VALID_MEAN_TEMP,DAYS_WITH_VALID_MIN_TEMP,NORMAL_PRECIPITATION,LOCAL_DATE,LATITUDE,DAYS_WITH_VALID_PRECIP,DAYS_WITH_VALID_SNOWFALL,COOLING_DEGREE_DAYS,MIN_TEMPERATURE,DAYS_WITH_PRECIP_GE_1MM
-61.43333333333333,45.65,,NOUVELLE-ÉCOSSE,NS,2014-07-31 11:53:01,7,BARRIE BROOK,1963,,,8200400,,70.5,,,6298.1963.7,0,,,-61.433,NOVA SCOTIA,,0,0,0,,1963-07,45.650,31,31,,,8
-61.43333333333333,45.65,,NOUVELLE-ÉCOSSE,NS,2014-07-31 11:53:01,8,BARRIE BROOK,1963,,,8200400,,123,,,6298.1963.8,0,,,-61.433,NOVA SCOTIA,,0,0,0,,1963-08,45.650,31,31,,,11
-61.43333333333333,45.65,,NOUVELLE-ÉCOSSE,NS,2014-07-31 11:53:01,9,BARRIE BROOK,1963,,,8200400,,164.3,,,6298.1963.9,0,,,-61.433,NOVA SCOTIA,,0,0,0,,1963-09,45.650,30,30,,,13
-61.43333333333333,45.65,,NOUVELLE-ÉCOSSE,NS,2014-07-31 11:53:01,10,BARRIE BROOK,1963,,,8200400,,28.7,,,6298.1963.10,0,,,-61.433,NOVA SCOTIA,,0,0,0,,1963-10,45.650,31,31,,,6
-61.43333333333333,45.65,,NOUVELLE-ÉCOSSE,NS,2014-07-31 11:53:01,11,BARRIE BROOK,1963,,,8200400,,145.6,,,6298.1963.11,5.1,,,-61.433,NOVA SCOTIA,,0,0,0,,1963-11,45.650,30,30,,,17
-61.43333333333333,45.65,,NOUVELLE-ÉCOSSE,NS,2014-07-31 11:53:01,12,BARRIE BROOK,1963,,,8200400,,154.4,,,6298.1963.12,109.2,,,-61.433,NOVA SCOTIA,,0,0,0,,1963-12,45.650,31,31,,,13
-61.43333333333333,45.65,,NOUVELLE-ÉCOSSE,NS,2014-07-31 11:53:01,1,BARRIE BROOK,1964,,,8200400,,178.1,,,6298.1964.1,63.3,,,-61.433,NOVA SCOTIA,,0,0,0,,1964-01,45.650,31,31,,,13
-61.43333333333333,45.65,,NOUVELLE-ÉCOSSE,NS,2014-07-31 11:53:01,2,BARRIE BROOK,1964,,,8200400,,134,,,6298.1964.2,121.9,,,-61.433,NOVA SCOTIA,,0,0,0,,1964-02,45.650,29,29,,,13
-61.43333333333333,45.65,,NOUVELLE-ÉCOSSE,NS,2014-07-31 11:53:01,3,BARRIE BROOK,1964,,,8200400,,130.7,,,6298.1964.3,50.7,,,-61.433,NOVA SCOTIA,,0,0,0,,1964-03,45.650,31,31,,,13
-61.43333333333333,45.65,,NOUVELLE-ÉCOSSE,NS,2014-07-31 11:53:01,4,BARRIE BROOK,1964,,,8200400,,80.6,,,6298.1964.4,15.4,,,-61.433,NOVA SCOTIA,,0,0,0,,1964-04,45.650,30,30,,,8
-61.43333333333333,45.65,,NOUVELLE-ÉCOSSE,NS,2014-07-31 11:53:01,5,BARRIE BROOK,1964,,,8200400,,83.9,,,6298.1964.5,0,,,-61.433,NOVA SCOTIA,,0,0,0,,1964-05,45.650,31,31,,,9
