x,y,SNOW_ON_GROUND_LAST_DAY,COOLING_DEGREE_DAYS,DAYS_WITH_VALID_MIN_TEMP,LAST_UPDATED,FRE_PROVINCE_NAME,LONGITUDE,TOTAL_SNOWFALL,MEAN_TEMPERATURE,NORMAL_PRECIPITATION,NORMAL_SNOWFALL,BRIGHT_SUNSHINE,LOCAL_DATE,ENG_PROVINCE_NAME,STATION_NAME,LOCAL_MONTH,DAYS_WITH_VALID_SNOWFALL,PROVINCE_CODE,DAYS_WITH_VALID_MEAN_TEMP,HEATING_DEGREE_DAYS,DAYS_WITH_VALID_PRECIP,TOTAL_PRECIPITATION,LOCAL_YEAR,MAX_TEMPERATURE,LATITUDE,CLIMATE_IDENTIFIER,DAYS_WITH_VALID_SUNSHINE,MIN_TEMPERATURE,NORMAL_MEAN_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,DAYS_WITH_PRECIP_GE_1MM,NORMAL_SUNSHINE,ID
-119.45,59.18333333333333,0,2.5,31,2014-07-31 11:49:54,ALBERTA,-119.450,0,10.580645161290322,,,,1982-08,ALBERTA,AMBER LO,8,31,AB,31,232.5,31,94.5,1982,28,59.183,3070230,,-1,,31,14,,2650.1982.8
-119.45,59.18333333333333,,0,4,2014-07-31 11:49:54,ALBERTA,-119.450,0,3.125,,,,1983-04,ALBERTA,AMBER LO,4,5,AB,4,59.5,5,0,1983,14,59.183,3070230,,-6,,5,0,,2650.1983.4
-119.45,59.18333333333333,,0,31,2014-07-31 11:49:54,ALBERTA,-119.450,41.1,4.774193548387097,,,,1983-05,ALBERTA,AMBER LO,5,31,AB,31,410,31,74.4,1983,26,59.183,3070230,,-12,,31,15,,2650.1983.5
-119.45,59.18333333333333,0,8,30,2014-07-31 11:49:54,ALBERTA,-119.450,0,13.7,,,,1983-06,ALBERTA,AMBER LO,6,30,AB,30,137,30,26.1,1983,27,59.183,3070230,,0,,30,5,,2650.1983.6
-119.45,59.18333333333333,0,17.5,31,2014-07-31 11:49:54,ALBERTA,-119.450,0,16.370967741935484,,,,1983-07,ALBERTA,AMBER LO,7,31,AB,31,68,31,49.5,1983,29,59.183,3070230,,5,,31,7,,2650.1983.7
-119.45,59.18333333333333,0,6,31,2014-07-31 11:49:54,ALBERTA,-119.450,0,14.612903225806452,,,,1983-08,ALBERTA,AMBER LO,8,31,AB,31,111,31,36.2,1983,29,59.183,3070230,,4,,31,7,,2650.1983.8
-119.45,59.18333333333333,0,0,3,2014-07-31 11:49:54,ALBERTA,-119.450,0,5.166666666666667,,,,1984-04,ALBERTA,AMBER LO,4,4,AB,3,38.5,4,0,1984,15,59.183,3070230,,-2,,3,0,,2650.1984.4
-119.45,59.18333333333333,0,0,30,2014-07-31 11:49:54,ALBERTA,-119.450,1,7.766666666666667,,,,1984-05,ALBERTA,AMBER LO,5,31,AB,30,307,31,62.2,1984,20,59.183,3070230,,-7,,31,10,,2650.1984.5
-119.45,59.18333333333333,0,0,30,2014-07-31 11:49:54,ALBERTA,-119.450,0,13.583333333333334,,,,1984-06,ALBERTA,AMBER LO,6,30,AB,30,132.5,30,121.8,1984,25,59.183,3070230,,2,,30,13,,2650.1984.6
-119.45,59.18333333333333,0,25,31,2014-07-31 11:49:54,ALBERTA,-119.450,0,15.693548387096774,,,,1984-07,ALBERTA,AMBER LO,7,31,AB,31,96.5,31,82.8,1984,30,59.183,3070230,,5,,31,16,,2650.1984.7
-119.45,59.18333333333333,0,25,29,2014-07-31 11:49:54,ALBERTA,-119.450,4.3,15.017857142857142,,,,1984-08,ALBERTA,AMBER LO,8,31,AB,28,108.5,31,80.2,1984,29,59.183,3070230,,-2,,28,9,,2650.1984.8
-119.45,59.18333333333333,0,0,22,2014-07-31 11:49:54,ALBERTA,-119.450,0.3,9.068181818181818,,,,1985-05,ALBERTA,AMBER LO,5,23,AB,22,196.5,23,3.5,1985,24,59.183,3070230,,-6,,23,2,,2650.1985.5
-119.45,59.18333333333333,0,2,30,2014-07-31 11:49:54,ALBERTA,-119.450,0,13,,,,1985-06,ALBERTA,AMBER LO,6,30,AB,30,152,30,35.2,1985,28,59.183,3070230,,-1,,30,7,,2650.1985.6
-119.45,59.18333333333333,0,5,31,2014-07-31 11:49:54,ALBERTA,-119.450,0,14.67741935483871,,,,1985-07,ALBERTA,AMBER LO,7,31,AB,31,108,31,90.7,1985,28,59.183,3070230,,4,,31,15,,2650.1985.7
-119.45,59.18333333333333,,1.5,28,2014-07-31 11:49:54,ALBERTA,-119.450,0,11.851851851851851,,,,1985-08,ALBERTA,AMBER LO,8,31,AB,27,167.5,31,133.6,1985,26,59.183,3070230,,1,,27,11,,2650.1985.8
-119.45,59.18333333333333,,1,22,2014-07-31 11:49:54,ALBERTA,-119.450,3,11.294117647058824,,,,1986-05,ALBERTA,AMBER LO,5,24,AB,17,115,24,8.9,1986,27,59.183,3070230,,-5,,18,4,,2650.1986.5
-119.45,59.18333333333333,0,0.5,30,2014-07-31 11:49:54,ALBERTA,-119.450,0,12.15,,,,1986-06,ALBERTA,AMBER LO,6,30,AB,30,176,30,74.5,1986,26,59.183,3070230,,0,,30,10,,2650.1986.6
-119.45,59.18333333333333,0,2.5,31,2014-07-31 11:49:54,ALBERTA,-119.450,0,15.241935483870968,,,,1986-07,ALBERTA,AMBER LO,7,31,AB,31,88,31,57.3,1986,27,59.183,3070230,,6,,31,9,,2650.1986.7
-119.45,59.18333333333333,,8.5,26,2014-07-31 11:49:54,ALBERTA,-119.450,8,13.16,,,,1986-08,ALBERTA,AMBER LO,8,31,AB,25,129.5,31,54.8,1986,26,59.183,3070230,,-3,,25,7,,2650.1986.8
-119.45,59.18333333333333,0,0,23,2014-07-31 11:49:54,ALBERTA,-119.450,5,8.282608695652174,,,,1987-05,ALBERTA,AMBER LO,5,24,AB,23,223.5,24,31.2,1987,26,59.183,3070230,,-5,,24,5,,2650.1987.5
-119.45,59.18333333333333,0,0.5,30,2014-07-31 11:49:54,ALBERTA,-119.450,0,13.266666666666667,,,,1987-06,ALBERTA,AMBER LO,6,30,AB,30,142.5,30,56.4,1987,26,59.183,3070230,,2,,30,8,,2650.1987.6
-119.45,59.18333333333333,0,3,31,2014-07-31 11:49:54,ALBERTA,-119.450,0,15,,,,1987-07,ALBERTA,AMBER LO,7,31,AB,31,96,31,65.2,1987,27,59.183,3070230,,6,,31,11,,2650.1987.7
-119.45,59.18333333333333,0,0,27,2014-07-31 11:49:54,ALBERTA,-119.450,0,12.596153846153847,,,,1987-08,ALBERTA,AMBER LO,8,31,AB,26,140.5,31,39.6,1987,23,59.183,3070230,,1,,26,7,,2650.1987.8
-119.45,59.18333333333333,0,0,27,2014-07-31 11:49:54,ALBERTA,-119.450,4.6,8.055555555555555,,,,1988-05,ALBERTA,AMBER LO,5,28,AB,27,268.5,28,48,1988,21,59.183,3070230,,-3,,28,9,,2650.1988.5
-119.45,59.18333333333333,0,1.5,30,2014-07-31 11:49:54,ALBERTA,-119.450,0,13.133333333333333,,,,1988-06,ALBERTA,AMBER LO,6,30,AB,30,147.5,30,148.9,1988,25,59.183,3070230,,1,,30,9,,2650.1988.6
-119.45,59.18333333333333,0,3.5,31,2014-07-31 11:49:54,ALBERTA,-119.450,0,14.225806451612904,,,,1988-07,ALBERTA,AMBER LO,7,31,AB,31,120.5,31,112.4,1988,27,59.183,3070230,,5,,31,14,,2650.1988.7
-119.45,59.18333333333333,,0,23,2014-07-31 11:49:54,ALBERTA,-119.450,0,13.886363636363637,,,,1988-08,ALBERTA,AMBER LO,8,22,AB,22,90.5,22,45.5,1988,24,59.183,3070230,,2,,22,6,,2650.1988.8
-119.45,59.18333333333333,0,0,22,2014-07-31 11:49:54,ALBERTA,-119.450,3.4,7.704545454545454,,,,1989-05,ALBERTA,AMBER LO,5,23,AB,22,226.5,23,29.7,1989,23,59.183,3070230,,-5,,23,6,,2650.1989.5
-119.45,59.18333333333333,0,11.5,30,2014-07-31 11:49:54,ALBERTA,-119.450,0,14.633333333333333,,,,1989-06,ALBERTA,AMBER LO,6,30,AB,30,112.5,30,23.5,1989,29,59.183,3070230,,3,,30,4,,2650.1989.6
-119.45,59.18333333333333,0,15.5,31,2014-07-31 11:49:54,ALBERTA,-119.450,0,16.387096774193548,,,,1989-07,ALBERTA,AMBER LO,7,31,AB,31,65.5,31,55.1,1989,30,59.183,3070230,,3,,31,10,,2650.1989.7
-119.45,59.18333333333333,0,39,31,2014-07-31 11:49:54,ALBERTA,-119.450,0,16.35483870967742,,,,1989-08,ALBERTA,AMBER LO,8,31,AB,31,90,31,77.1,1989,29,59.183,3070230,,2,,31,7,,2650.1989.8
-119.45,59.18333333333333,0,5.5,23,2014-07-31 11:49:54,ALBERTA,-119.450,0,10.043478260869565,,,,1990-05,ALBERTA,AMBER LO,5,23,AB,23,188.5,23,29.2,1990,29,59.183,3070230,,-3,,24,3,,2650.1990.5
-119.45,59.18333333333333,0,3,30,2014-07-31 11:49:54,ALBERTA,-119.450,0,13.333333333333334,,,,1990-06,ALBERTA,AMBER LO,6,30,AB,30,143,30,16.9,1990,30,59.183,3070230,,0,,30,6,,2650.1990.6
-119.45,59.18333333333333,0,29,31,2014-07-31 11:49:54,ALBERTA,-119.450,0,16.774193548387096,,,,1990-07,ALBERTA,AMBER LO,7,31,AB,31,67,31,86.3,1990,31,59.183,3070230,,5,,31,8,,2650.1990.7
-119.45,59.18333333333333,0,15,30,2014-07-31 11:49:54,ALBERTA,-119.450,0,15.068965517241379,,,,1990-08,ALBERTA,AMBER LO,8,31,AB,29,100,31,12.8,1990,30,59.183,3070230,,3,,29,2,,2650.1990.8
-119.45,59.18333333333333,0,,0,2014-07-31 11:49:54,ALBERTA,-119.450,1.9,,,,,1991-05,ALBERTA,AMBER LO,5,31,AB,0,,31,21.5,1991,,59.183,3070230,,,,0,7,,2650.1991.5
-119.45,59.18333333333333,0,1,30,2014-07-31 11:49:54,ALBERTA,-119.450,0,13.9,,,,1991-06,ALBERTA,AMBER LO,6,30,AB,30,124,30,76.5,1991,27,59.183,3070230,,2,,30,8,,2650.1991.6
-119.45,59.18333333333333,0,13,31,2014-07-31 11:49:54,ALBERTA,-119.450,0,14.838709677419354,,,,1991-07,ALBERTA,AMBER LO,7,31,AB,31,111,31,114.9,1991,29,59.183,3070230,,0,,31,15,,2650.1991.7
-119.45,59.18333333333333,,27,23,2014-07-31 11:49:54,ALBERTA,-119.450,0,17.113636363636363,,,,1991-08,ALBERTA,AMBER LO,8,22,AB,22,46.5,22,43.6,1991,29,59.183,3070230,,5,,22,8,,2650.1991.8
-119.45,59.18333333333333,,0,19,2014-07-31 11:49:54,ALBERTA,-119.450,4,7.973684210526316,,,,1992-05,ALBERTA,AMBER LO,5,19,AB,19,190.5,19,19.3,1992,25,59.183,3070230,,-4,,20,5,,2650.1992.5
-119.45,59.18333333333333,0,4.5,30,2014-07-31 11:49:54,ALBERTA,-119.450,0,13.383333333333333,,,,1992-06,ALBERTA,AMBER LO,6,30,AB,30,143,30,79,1992,27,59.183,3070230,,3,,30,11,,2650.1992.6
-119.45,59.18333333333333,0,0.5,31,2014-07-31 11:49:54,ALBERTA,-119.450,0,13.951612903225806,,,,1992-07,ALBERTA,AMBER LO,7,31,AB,31,126,31,54.1,1992,26,59.183,3070230,,5,,31,8,,2650.1992.7
-119.45,59.18333333333333,,4.5,25,2014-07-31 11:49:54,ALBERTA,-119.450,1,13.729166666666666,,,,1992-08,ALBERTA,AMBER LO,8,24,AB,24,107,24,21,1992,28,59.183,3070230,,-1,,24,3,,2650.1992.8
-119.45,59.18333333333333,0,0,12,2014-07-31 11:49:54,ALBERTA,-119.450,3,7.875,,,,1993-05,ALBERTA,AMBER LO,5,13,AB,12,121.5,13,27.8,1993,22,59.183,3070230,,-3,,13,4,,2650.1993.5
-119.45,59.18333333333333,0,1,30,2014-07-31 11:49:54,ALBERTA,-119.450,0,13.633333333333333,,,,1993-06,ALBERTA,AMBER LO,6,30,AB,30,132,30,18.3,1993,27,59.183,3070230,,3,,30,3,,2650.1993.6
-119.45,59.18333333333333,,0,31,2014-07-31 11:49:54,ALBERTA,-119.450,0,14.451612903225806,,,,1993-07,ALBERTA,AMBER LO,7,31,AB,31,110,31,106.2,1993,25,59.183,3070230,,4,,31,12,,2650.1993.7
-119.45,59.18333333333333,,8,17,2014-07-31 11:49:54,ALBERTA,-119.450,0,13.5625,,,,1993-08,ALBERTA,AMBER LO,8,16,AB,16,79,16,87.5,1993,28,59.183,3070230,,3,,16,4,,2650.1993.8
-119.45,59.18333333333333,,0,14,2014-07-31 11:49:54,ALBERTA,-119.450,0,11.678571428571429,,,,1994-05,ALBERTA,AMBER LO,5,14,AB,14,88.5,14,8.3,1994,24,59.183,3070230,,1,,15,2,,2650.1994.5
-119.45,59.18333333333333,,4.5,30,2014-07-31 11:49:54,ALBERTA,-119.450,0,14.7,,,,1994-06,ALBERTA,AMBER LO,6,30,AB,30,103.5,30,40.2,1994,26,59.183,3070230,,1,,30,5,,2650.1994.6
-119.45,59.18333333333333,0,32,31,2014-07-31 11:49:54,ALBERTA,-119.450,0,17.241935483870968,,,,1994-07,ALBERTA,AMBER LO,7,31,AB,31,55.5,31,76,1994,32,59.183,3070230,,6,,31,10,,2650.1994.7
-119.45,59.18333333333333,,15.5,26,2014-07-31 11:49:54,ALBERTA,-119.450,0,16.4,,,,1994-08,ALBERTA,AMBER LO,8,25,AB,25,55.5,25,11,1994,29,59.183,3070230,,5,,25,3,,2650.1994.8
-119.45,59.18333333333333,0,2,22,2014-07-31 11:49:54,ALBERTA,-119.450,0,11.022727272727273,,,,1995-05,ALBERTA,AMBER LO,5,22,AB,22,155.5,22,10.6,1995,30,59.183,3070230,,-1,,23,3,,2650.1995.5
-119.45,59.18333333333333,0,7.5,30,2014-07-31 11:49:54,ALBERTA,-119.450,0,15.516666666666667,,,,1995-06,ALBERTA,AMBER LO,6,30,AB,30,82,30,41.7,1995,28,59.183,3070230,,4,,30,5,,2650.1995.6
