x,y,NORMAL_SUNSHINE,LAST_UPDATED,NORMAL_SNOWFALL,LATITUDE,MIN_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,CLIMATE_IDENTIFIER,MAX_TEMPERATURE,TOTAL_SNOWFALL,ENG_PROVINCE_NAME,TOTAL_PRECIPITATION,DAYS_WITH_VALID_SNOWFALL,HEATING_DEGREE_DAYS,LOCAL_DATE,DAYS_WITH_VALID_MIN_TEMP,COOLING_DEGREE_DAYS,ID,NORMAL_PRECIPITATION,STATION_NAME,BRIGHT_SUNSHINE,SNOW_ON_GROUND_LAST_DAY,MEAN_TEMPERATURE,DAYS_WITH_PRECIP_GE_1MM,FRE_PROVINCE_NAME,DAYS_WITH_VALID_PRECIP,PROVINCE_CODE,NORMAL_MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,LOCAL_YEAR,DAYS_WITH_VALID_SUNSHINE,LOCAL_MONTH,LONGITUDE
-120.83333333333333,49.13333333333333,,2014-07-31 11:48:28,,49.133,-17.8,31,1110350,21.1,77.5,BRITISH COLUMBIA,131.5,31,512.3,1971-10,31,0,938.1971.10,,ALLISON PASS,,,1.4741935483870967,16,COLOMBIE-BRITANNIQUE,31,BC,,31,1971,,10,-120.833
-120.83333333333333,49.13333333333333,,2014-07-31 11:48:28,,49.133,-15.6,30,1110350,5,124.5,BRITISH COLUMBIA,146.5,30,627.6,1971-11,30,0,938.1971.11,,ALLISON PASS,,,-2.92,21,COLOMBIE-BRITANNIQUE,30,BC,,30,1971,,11,-120.833
-120.83333333333333,49.13333333333333,,2014-07-31 11:48:28,,49.133,-29.4,31,1110350,0,382.2,BRITISH COLUMBIA,382.2,31,904.3,1971-12,31,0,938.1971.12,,ALLISON PASS,,,-11.170967741935485,26,COLOMBIE-BRITANNIQUE,31,BC,,31,1971,,12,-120.833
-120.83333333333333,49.13333333333333,,2014-07-31 11:48:28,,49.133,-31.7,31,1110350,2.2,454.7,BRITISH COLUMBIA,460.8,31,870.3,1972-01,31,0,938.1972.1,,ALLISON PASS,,,-10.074193548387097,27,COLOMBIE-BRITANNIQUE,31,BC,,31,1972,,1,-120.833
-120.83333333333333,49.13333333333333,,2014-07-31 11:48:28,,49.133,-23.3,29,1110350,6.7,231.1,BRITISH COLUMBIA,256.1,29,680.1,1972-02,29,0,938.1972.2,,ALLISON PASS,,,-5.451724137931034,20,COLOMBIE-BRITANNIQUE,29,BC,,29,1972,,2,-120.833
-120.83333333333333,49.13333333333333,,2014-07-31 11:48:28,,49.133,-13.9,29,1110350,13.9,143.3,BRITISH COLUMBIA,181.5,31,553.6,1972-03,29,0,938.1972.3,,ALLISON PASS,,,-1.089655172413793,18,COLOMBIE-BRITANNIQUE,31,BC,,29,1972,,3,-120.833
-120.83333333333333,49.13333333333333,,2014-07-31 11:48:28,,49.133,-12.2,27,1110350,14.4,68.3,BRITISH COLUMBIA,79.2,30,494.6,1972-04,26,0,938.1972.4,,ALLISON PASS,,,-1.784,12,COLOMBIE-BRITANNIQUE,30,BC,,25,1972,,4,-120.833
-120.83333333333333,49.13333333333333,,2014-07-31 11:48:28,,49.133,-7.2,29,1110350,23.3,7.2,BRITISH COLUMBIA,40.7,31,357.2,1972-05,29,0,938.1972.5,,ALLISON PASS,,,5.242857142857143,4,COLOMBIE-BRITANNIQUE,31,BC,,28,1972,,5,-120.833
-120.83333333333333,49.13333333333333,,2014-07-31 11:48:28,,49.133,-1.7,20,1110350,22.2,0,BRITISH COLUMBIA,24.4,30,163.1,1972-06,19,0,938.1972.6,,ALLISON PASS,,,7.80625,4,COLOMBIE-BRITANNIQUE,19,BC,,16,1972,,6,-120.833
-120.83333333333333,49.13333333333333,,2014-07-31 11:48:28,,49.133,-1.7,21,1110350,26.7,0,BRITISH COLUMBIA,13.3,31,149.8,1972-07,23,0,938.1972.7,,ALLISON PASS,,,10.866666666666667,4,COLOMBIE-BRITANNIQUE,31,BC,,21,1972,,7,-120.833
-120.83333333333333,49.13333333333333,,2014-07-31 11:48:28,,49.133,-10.6,17,1110350,15.6,10.2,BRITISH COLUMBIA,16.3,24,275.2,1972-10,17,0,938.1972.10,,ALLISON PASS,,,1.811764705882353,3,COLOMBIE-BRITANNIQUE,24,BC,,17,1972,,10,-120.833
-120.86666666666666,49.11666666666667,,2014-07-31 11:48:28,,49.117,-11.7,11,1110352,3.3,7.6,BRITISH COLUMBIA,17.3,11,238.5,1974-11,11,0,939.1974.11,,ALLISON PASS DOH,,,-3.6818181818181817,3,COLOMBIE-BRITANNIQUE,11,BC,,11,1974,,11,-120.867
-120.86666666666666,49.11666666666667,,2014-07-31 11:48:28,,49.117,-18.9,31,1110352,4.4,207.1,BRITISH COLUMBIA,215.9,31,669.3,1974-12,31,0,939.1974.12,,ALLISON PASS DOH,,,-3.5903225806451613,23,COLOMBIE-BRITANNIQUE,31,BC,,31,1974,,12,-120.867
